Date,6m,9m,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y
200301,1.20537129743294,1.24846439526425,1.30201613509583,1.69864760689421,2.21097635156504,2.68920086775841,3.04446460785571,3.35723237399944,3.62378192673372,3.84685046653482,4.0493882048892,4.25389391068019
200302,1.21170283392155,1.21734290473005,1.23967658039844,1.50722336782118,1.92998180780481,2.37293361052387,2.72937195904588,3.04573098184858,3.31779755449085,3.54492531249056,3.74785121004191,3.95418205673063
200303,1.11470569879427,1.13381139622028,1.16897344327204,1.49006017121661,1.97632949426352,2.44581408912631,2.81966935079274,3.15223845500917,3.43789257481481,3.67375426012582,3.88353983264554,4.0939329721639
200304,1.13127701269629,1.14563870943065,1.17012920978164,1.47965126354209,1.98707350508455,2.46736334865222,2.85884455447891,3.188442778036,3.46449620903442,3.69366154244147,3.8972986417662,4.09741771091568
200305,1.12009404150322,1.14531291722193,1.17045625261123,1.3138320235839,1.62719047295249,1.99477131743632,2.34583993444204,2.6723504186706,2.96057291904697,3.1965406780243,3.39904184109833,3.59872867562734
200306,0.94579150836423,0.997081994773032,1.04492485954171,1.28291288142486,1.68692601016225,2.11169518764231,2.48556072016523,2.81389971726444,3.10651827460596,3.34641504407484,3.5531567248423,3.75572403020963
200307,1.04432535702984,1.14156070097107,1.24497502889374,1.73574196005211,2.31747491175454,2.88358468711352,3.33483861703723,3.71072449481532,4.02680236778517,4.2780508207672,4.48576667393546,4.69446007422628
200308,1.11460238560061,1.23488741607764,1.35375094016856,1.95096416387898,2.56982069824256,3.08356230755187,3.50041131563146,3.8303682676774,4.1030030942859,4.32100199653072,4.49762772518203,4.69096860492069
200309,0.998899218620436,1.04901839498999,1.08885463260137,1.44750610998551,1.98264561702741,2.44767347687498,2.85724840029092,3.20492599670694,3.50146661248483,3.74620526915501,3.95402028654961,4.17386317001051
200310,1.07980183229823,1.18944911093005,1.29529860137753,1.82775732472821,2.40369359771896,2.87333274571815,3.28344462294813,3.6089465639047,3.8901186205445,4.11557899280255,4.3063567420796,4.51671296444519
200311,1.1227464872433,1.29783525121311,1.45679564589359,2.02922569004587,2.57802638735502,3.01071830379971,3.38608644514203,3.67511895992058,3.94631615694239,4.16081581303801,4.35061884384035,4.54786868687394
200312,1.03308021244207,1.1524045222062,1.25757764624292,1.81033590461202,2.37879121648719,2.84875397089766,3.24904037126927,3.55414721183133,3.83938243685317,4.06593551837595,4.25724686156639,4.46189679154562
200401,1.04092156365194,1.15490753471342,1.26131221951242,1.79594743776731,2.35128702301122,2.79264609637088,3.17898719141236,3.48264164118207,3.75003352592104,3.9615167825519,4.1415728815925,4.34445680954108
200402,1.04264330522758,1.11560200634587,1.17481425307323,1.6284093668301,2.14757289573658,2.58421449652314,2.97200549367267,3.27528166579661,3.54570827477919,3.76527855373233,3.9555482754258,4.17499825073278
200403,1.00725168230291,1.07600728369986,1.1466165287336,1.55791778077677,2.00691980391161,2.43668223084084,2.82381511431964,3.13797236200113,3.4100867388581,3.6354704366232,3.83586831276632,4.05531744181981
200404,1.19661863619088,1.41076986210483,1.61332634202359,2.33257498872212,2.8823764009152,3.31598673134389,3.67345582548285,3.95192387679233,4.18103410840999,4.36454825316709,4.53103750543331,4.73623929060745
200405,1.38657689050643,1.62675828081145,1.83580413694039,2.55104905737954,3.11201228141379,3.52427033586303,3.85926203381729,4.1193887804545,4.33485843314201,4.5144145672104,4.6857233303541,4.88400350513656
200406,1.60535436604294,1.83116578370326,2.02428489387805,2.68472540613313,3.16187001350194,3.50731133136071,3.80658260653086,4.06066127172432,4.26635771758923,4.43859768698735,4.60971898266585,4.80636269463324
200407,1.69570070719327,1.89526963145566,2.06760400388503,2.66971171124605,3.10625408387405,3.44098815719209,3.7246945294806,3.97156947472795,4.17021071145904,4.33370963742573,4.49280767782581,4.68611437338045
200408,1.71621063444825,1.83300202264286,1.93448721433267,2.37092535950943,2.72783137340047,3.06032048539381,3.34789383568722,3.59974447474748,3.80079939453447,3.96451716826869,4.12315146088882,4.32717078580497
200409,1.92493023735111,2.0685656881084,2.17939128698985,2.58969892979515,2.88060872670011,3.15707496359884,3.39947580870785,3.63131165250294,3.8155335393034,3.96541831403751,4.12110031620302,4.31551142395125
200410,2.07082552045118,2.15211777243676,2.21592065258632,2.53231086341787,2.80569408710844,3.06968190308806,3.31686491738751,3.53689889455111,3.72066219207992,3.87252978376113,4.02964765802515,4.21956184329013
200411,2.34781981015817,2.49811853514583,2.62375730612136,2.98561625389914,3.25140351339698,3.49290207311005,3.72122578183662,3.91235066573224,4.07533638930976,4.21288872878075,4.35773876969029,4.5236556114953
200412,2.4929231940603,2.63282069602123,2.73563259945809,3.04211123915682,3.24239314098484,3.44583207841923,3.63395534011209,3.80568384578661,3.94886564472123,4.07586663273867,4.21992614168857,4.37587260799995
200501,2.6818271307289,2.82402173279024,2.93431189078113,3.24274162246595,3.40893147719162,3.55169071670921,3.69678378170388,3.81554970147993,3.92206362237405,4.0176062949013,4.12589082453046,4.24493756403875
200502,2.92059739836366,3.08068526114881,3.22109009130601,3.56379591126585,3.7425601632277,3.8865210638275,4.0164791411802,4.1100349301351,4.19300271775883,4.27658647908187,4.37194705338297,4.46973576373623
200503,3.06019368313857,3.2427352287368,3.39718401726879,3.74925084243523,3.9144309705313,4.04844431788297,4.15949311886031,4.2400650840366,4.30687791879872,4.38254093027884,4.47878059418869,4.57840064059209
